symbol,exchange,mic,name,currency,type,shares_outstanding,last_updated,is_active
AVTR,NYSE,XNYS,"Avantor, Inc. Common Stock",USD,Common Stock,681738675,2025-10-19 04:10:38.705914,1
AVY,NYSE,XNYS,Avery Dennison Corporation Common Stock,USD,Common Stock,77981594,2025-10-19 04:10:38.626850,1
AWF,NYSE,XNYS,Alliancebernstein Global High Income Fund,USD,Common Stock,86229677,2025-10-19 04:10:38.747381,1
AWI,NYSE,XNYS,Armstrong World Industries Inc Common Stock,USD,Common Stock,43258332,2025-10-19 04:10:38.749083,1
AWK,NYSE,XNYS,"American Water Works Company, Inc. Common Stock",USD,Common Stock,195098566,2025-10-19 04:10:38.862562,1
AWP,NYSE,XNYS,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,USD,Common Stock,86676970,2025-10-19 04:10:39.193200,1
AWR,NYSE,XNYS,American States Water Company Common Stock,USD,Common Stock,38509038,2025-10-19 04:10:39.161905,1
AX,NYSE,XNYS,"Axos Financial, Inc. Common Stock",USD,Common Stock,56595223,2025-10-19 04:10:39.159725,1
AXL,NYSE,XNYS,"American Axle & Manufacturing Holdings, Inc. Common Stock",USD,Common Stock,118664153,2025-10-19 04:10:39.174138,1
AXP,NYSE,XNYS,American Express Company Common Stock,USD,Common Stock,689000000,2025-10-19 04:10:39.155836,1
AXR,NYSE,XNYS,AMREP Corporation Common Stock,USD,Common Stock,5305949,2025-10-19 04:10:39.169768,1
AXS,NYSE,XNYS,Axis Capital Holdings Limited Common Stock,USD,Common Stock,78173983,2025-10-19 04:10:39.170700,1
AXTA,NYSE,XNYS,Axalta Coating Systems Ltd. Common Shares,USD,Common Stock,216574150,2025-10-19 04:10:39.313035,1
AYI,NYSE,XNYS,Acuity Inc. Common Stock,USD,Common Stock,30644832,2025-10-19 04:10:39.311735,1
AZO,NYSE,XNYS,"AutoZone, Inc. Common Stock",USD,Common Stock,16665000,2025-10-19 04:10:39.599450,1
AZZ,NYSE,XNYS,AZZ Inc.,USD,Common Stock,30057082,2025-10-19 04:10:39.602743,1
B,NYSE,XNYS,Barrick Mining Corporation Common Shares,USD,Common Stock,1705993790,2025-10-19 04:10:39.623674,1
BA,NYSE,XNYS,Boeing Company (The) Common Stock,USD,Common Stock,756157695,2025-10-19 04:10:40.047210,1
BABA,NYSE,XNYS,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,USD,Common Stock,2319000000,2025-10-19 04:10:40.046606,1
BAC,NYSE,XNYS,Bank of America Corporation Common Stock,USD,Common Stock,7329421929,2025-10-19 04:10:39.742512,1
BAH,NYSE,XNYS,Booz Allen Hamilton Holding Corporation Common Stock,USD,Common Stock,123248686,2025-10-19 04:10:40.905383,1
BAK,NYSE,XNYS,Braskem SA ADR,USD,Common Stock,172530183,2025-10-19 04:10:40.903641,1
BALL,NYSE,XNYS,Ball Corporation Common Stock,USD,Common Stock,272148895,2025-10-19 04:10:41.395186,1
BALY,NYSE,XNYS,Bally's Corporation Common Stock,USD,Common Stock,49122902,2025-10-19 04:10:41.426980,1
BAM,NYSE,XNYS,Brookfield Asset Management Inc Class A Limited Voting Shares,USD,Common Stock,1613107657,2025-10-19 04:10:41.378502,1
BANC,NYSE,XNYS,"Banc of California, Inc. Common Stock",USD,Common Stock,147301051,2025-10-19 04:10:41.398498,1
BAP,NYSE,XNYS,Credicorp Ltd. Common Stock,USD,Common Stock,79366317,2025-10-19 04:10:41.506693,1
BARK,NYSE,XNYS,"BARK, Inc. Class A Common Stock",USD,Common Stock,169883114,2025-10-19 04:10:41.823169,1
BAX,NYSE,XNYS,Baxter International Inc. Common Stock,USD,Common Stock,513621061,2025-10-19 04:10:41.852481,1
BB,NYSE,XNYS,BlackBerry Limited Common Stock,USD,Common Stock,590361084,2025-10-19 04:10:41.823656,1
BBAI,NYSE,XNYS,"BigBear.ai, Inc. Common Stock",USD,Common Stock,436518932,2025-10-19 04:10:41.851749,1
BBAR,NYSE,XNYS,Banco BBVA Argentina S.A. ADS,USD,Common Stock,204236693,2025-10-19 04:10:41.929368,1
BBBY,NYSE,XNYS,"Bed Bath & Beyond, Inc. Common Stock",USD,Common Stock,61928481,2025-10-19 04:10:41.939441,1
